iter	Passed	Remaining
212	24639	33199
213	24753	33081
214	24861	32956
215	24976	32838
216	25092	32723
217	25196	32593
218	25304	32468
219	25412	32343
220	25529	32230
221	25639	32107
222	25749	31985
223	25857	31859
224	25976	31749
225	26089	31630
226	26219	31532
227	26354	31440
228	26460	31313
229	26554	31172
230	26696	31087
231	26823	30985
232	26951	30884
233	27071	30773
234	27186	30656
235	27300	30539
236	27434	30444
237	27570	30350
238	27699	30249
239	27818	30136
240	27935	30022
241	28044	29898
242	28148	29770
243	28248	29637
244	28353	29511
245	28444	29369
246	28559	29253
247	28693	29156
248	28799	29031
249	28913	28913
250	29050	28819
251	29165	28702
252	29275	28581
253	29384	28458
254	29509	28352
255	29614	28226
256	29734	28114
257	29850	27999
258	29961	27879
259	30078	27764
260	30200	27654
261	30308	27532
262	30416	27409
263	30531	27293
264	30679	27206
265	30789	27085
266	30896	26961
267	31010	26844
268	31136	26738
269	31245	26616
270	31358	26498
271	31473	26382
272	31580	26259
273	31680	26130
274	31787	26008
275	31904	25893
276	32012	25772
277	32159	25680
278	32297	25583
279	32414	25468
280	32518	25343
281	32629	25224
282	32735	25100
283	32861	24993
284	32976	24876
285	33090	24759
286	33212	24649
287	33320	24527
288	33457	24427
289	33580	24316
290	33695	24200
291	33802	24078
292	33914	23959
293	34023	23839
294	34129	23717
295	34240	23597
296	34343	23474
297	34449	23351
298	34558	23231
299	34667	23111
300	34775	22990
301	34891	22875
302	35023	22771
303	35180	22682
304	35292	22563
305	35401	22444
306	35510	22324
307	35635	22214
308	35736	22089
309	35855	21976
310	35965	21856
311	36079	21740
312	36195	21624
313	36305	21505
314	36416	21387
315	36518	21264
316	36619	21139
317	36732	21023
318	36853	20910
319	36965	20793
320	37071	20672
321	37192	20559
322	37309	20445
323	37426	20330
324	37540	20213
325	37662	20102
326	37764	19979
327	37880	19864
328	37984	19742
329	38092	19623
330	38202	19505
331	38314	19387
332	38426	19271
333	38529	19149
334	38641	19032
335	38748	18912
336	38858	18794
337	38964	18675
338	39068	18554
339	39179	18437
340	39299	18324
341	39414	18208
342	39532	18095
343	39656	17983
344	39761	17863
345	39868	17745
346	39982	17629
347	40098	17514
348	40220	17401
349	40335	17286
350	40457	17174
351	40574	17059
352	40679	16940
353	40786	16821
354	40905	16707
355	41013	16589
356	41152	16483
357	41257	16364
358	41373	16249
359	41471	16127
360	41595	16016
361	41719	15904
362	41834	15788
363	41948	15672
364	42061	15557
365	42167	15438
366	42277	15321
367	42382	15202
368	42527	15097
369	42647	14984
370	42759	14867
371	42870	14751
372	42974	14632
373	43104	14521
374	43222	14407
375	43323	14287
376	43442	14173
377	43558	14058
378	43678	13944
379	43791	13828
380	43906	13713
381	44030	13601
382	44144	13485
383	44272	13373
384	44383	13257
385	44490	13139
386	44608	13025
387	44725	12910
388	44828	12791
389	44941	12675
390	45067	12563
391	45181	12448
392	45298	12333
393	45420	12219
394	45542	12106
395	45649	11988
396	45756	11871
397	45870	11755
398	45987	11641
399	46100	11525
400	46219	11410
401	46333	11295
402	46446	11179
403	46560	11063
404	46669	10947
405	46783	10831
406	46894	10715
407	47006	10599
408	47124	10484
409	47241	10369
410	47362	10256
411	47477	10140
412	47598	10026
413	47742	9917
414	47849	9800
415	47962	9684
416	48079	9569
417	48204	9456
418	48336	9344
419	48455	9229
420	48571	9114
421	48692	9000
422	48809	8884
423	48920	8768
424	49036	8653
425	49153	8538
426	49269	8423
427	49391	8308
428	49501	8192
429	49622	8078
430	49731	7961
431	49846	7846
432	49985	7734
433	50107	7620
434	50238	7506
435	50352	7391
436	50504	7281
437	50641	7168
438	50751	7052
439	50881	6938
440	51002	6823
441	51128	6709
442	51249	6594
443	51375	6479
444	51493	6364
445	51602	6247
446	51714	6131
447	51825	6015
448	51954	5901
449	52079	5786
450	52199	5671
451	52314	5555
452	52433	5440
453	52555	5325
454	52706	5212
455	52854	5100
456	52968	4983
457	53100	4869
458	53209	4752
459	53331	4637
460	53455	4522
461	53571	4406
462	53677	4289
463	53782	4172
464	53883	4055
465	53998	3939
466	54107	3823
467	54222	3707
468	54354	3592
469	54482	3477
470	54592	3361
471	54707	3245
472	54833	3130
473	54948	3014
474	55074	2898
475	55190	2782
476	55296	2666
477	55404	2549
478	55504	2433
479	55617	2317
480	55732	2201
481	55843	2085
482	55954	1969
483	56063	1853
484	56173	1737
485	56296	1621
486	56418	1506
487	56537	1390
488	56657	1274
489	56765	1158
490	56882	1042
491	57024	927
492	57148	811
493	57268	695
494	57381	579
495	57503	463
496	57625	347
497	57735	231
498	57850	115
499	57973	0
